soil_moisture,soil_moisture_p,humidity_p,temperature_c,heat_index_c
464.0,0.0,63.0,16.6,15.96
363.0,32.0,63.0,16.6,15.96
297.0,57.0,63.0,16.6,15.96
277.0,65.0,63.0,16.6,15.96
304.0,55.0,63.0,16.6,15.96
267.0,69.0,63.0,16.6,15.96
272.0,67.0,63.0,16.7,16.07
266.0,69.0,63.0,16.7,16.07
304.0,55.0,63.0,17.0,16.4
303.0,55.0,63.0,17.0,16.4
287.0,61.0,63.0,17.0,16.4
288.0,61.0,63.0,17.0,16.4
566.0,0.0,63.0,17.0,16.4
542.0,0.0,63.0,17.0,16.4
423.0,8.0,63.0,17.0,16.4
337.0,42.0,63.0,17.0,16.4
336.0,42.0,63.0,17.0,16.4
320.0,48.0,63.0,17.0,16.4
295.0,58.0,64.0,17.0,16.43
293.0,59.0,64.0,17.0,16.43
274.0,66.0,64.0,17.0,16.43
270.0,68.0,64.0,17.0,16.43
303.0,55.0,64.0,17.0,16.43
306.0,54.0,64.0,17.0,16.43
317.0,50.0,64.0,17.0,16.43
315.0,50.0,64.0,17.0,16.43
298.0,57.0,65.0,17.0,16.45
291.0,60.0,65.0,17.0,16.45
273.0,67.0,65.0,17.0,16.45
277.0,65.0,65.0,17.0,16.45
280.0,64.0,65.0,17.0,16.45
285.0,62.0,65.0,17.0,16.45
317.0,50.0,65.0,17.0,16.45
317.0,50.0,65.0,17.0,16.45
289.0,60.0,65.0,17.0,16.45
286.0,62.0,65.0,17.0,16.45
273.0,67.0,65.0,17.0,16.45
275.0,66.0,65.0,17.0,16.45
311.0,52.0,65.0,17.0,16.45
313.0,51.0,65.0,17.0,16.45
318.0,49.0,65.0,17.0,16.45
315.0,50.0,65.0,17.0,16.45
278.0,65.0,64.0,17.0,16.43
277.0,65.0,64.0,17.0,16.43
290.0,60.0,64.0,17.4,16.87
275.0,66.0,64.0,17.4,16.87
312.0,51.0,64.0,17.4,16.87
314.0,51.0,64.0,17.4,16.87
317.0,50.0,64.0,17.4,16.87
312.0,51.0,64.0,17.4,16.87
278.0,65.0,64.0,17.4,16.87
279.0,64.0,64.0,17.4,16.87
292.0,59.0,64.0,17.4,16.87
296.0,58.0,64.0,17.4,16.87
315.0,50.0,64.0,17.4,16.87
316.0,50.0,64.0,17.4,16.87
308.0,53.0,64.0,17.4,16.87
305.0,54.0,64.0,17.4,16.87
282.0,63.0,64.0,17.4,16.87
277.0,65.0,64.0,17.4,16.87
295.0,58.0,64.0,17.4,16.87
276.0,66.0,64.0,17.4,16.87
312.0,51.0,64.0,17.4,16.87
313.0,51.0,64.0,17.4,16.87
316.0,50.0,64.0,17.4,16.87
314.0,51.0,64.0,17.4,16.87
280.0,64.0,64.0,17.4,16.87
278.0,65.0,64.0,17.4,16.87
281.0,64.0,64.0,17.4,16.87
283.0,63.0,64.0,17.4,16.87
315.0,50.0,64.0,17.4,16.87
315.0,50.0,64.0,17.4,16.87
310.0,52.0,64.0,17.4,16.87
308.0,53.0,64.0,17.4,16.87
278.0,65.0,64.0,17.4,16.87
277.0,65.0,64.0,17.4,16.87
291.0,60.0,64.0,17.4,16.87
276.0,66.0,64.0,17.4,16.87
310.0,52.0,64.0,17.4,16.87
312.0,51.0,64.0,17.4,16.87
316.0,50.0,63.0,17.4,16.84
315.0,50.0,63.0,17.4,16.84
279.0,64.0,63.0,17.4,16.84
278.0,65.0,63.0,17.4,16.84
280.0,64.0,63.0,17.4,16.84
282.0,63.0,63.0,17.4,16.84
314.0,51.0,63.0,17.4,16.84
307.0,53.0,63.0,17.4,16.84
317.0,50.0,63.0,17.4,16.84
317.0,50.0,63.0,17.4,16.84
283.0,63.0,63.0,17.4,16.84
283.0,63.0,63.0,17.4,16.84
275.0,66.0,63.0,17.4,16.84
278.0,65.0,63.0,17.4,16.84
284.0,62.0,63.0,17.4,16.84
283.0,63.0,63.0,17.4,16.84
315.0,50.0,63.0,17.4,16.84
315.0,50.0,63.0,17.4,16.84
310.0,52.0,63.0,17.4,16.84
310.0,52.0,63.0,17.4,16.84
278.0,65.0,63.0,17.4,16.84
278.0,65.0,63.0,17.4,16.84
286.0,62.0,63.0,17.4,16.84
287.0,61.0,63.0,17.4,16.84
316.0,50.0,63.0,17.4,16.84
316.0,50.0,63.0,17.4,16.84
304.0,55.0,63.0,17.4,16.84
303.0,55.0,63.0,17.4,16.84
277.0,65.0,63.0,17.4,16.84
284.0,62.0,63.0,17.4,16.84
275.0,66.0,63.0,17.4,16.84
274.0,66.0,63.0,17.4,16.84
309.0,53.0,63.0,17.4,16.84
310.0,52.0,63.0,17.4,16.84
316.0,50.0,62.0,17.4,16.81
