soil_moisture,soil_moisture_p,humidity_p,temperature_c,heat_index_c
288.0,61.0,63.0,16.1,15.41
296.0,58.0,66.0,15.7,15.05
298.0,57.0,67.0,15.2,14.52
300.0,56.0,69.0,14.8,14.14
291.0,60.0,70.0,14.8,14.16
301.0,56.0,71.0,14.4,13.75
290.0,60.0,71.0,14.4,13.75
287.0,61.0,71.0,14.4,13.75
288.0,61.0,71.0,14.4,13.75
294.0,58.0,71.0,14.4,13.75
301.0,56.0,71.0,14.4,13.75
288.0,61.0,71.0,14.4,13.75
301.0,56.0,71.0,14.4,13.75
301.0,56.0,72.0,14.4,13.78
296.0,58.0,72.0,14.4,13.78
292.0,59.0,72.0,14.4,13.78
293.0,59.0,72.0,14.4,13.78
297.0,57.0,72.0,14.4,13.78
302.0,55.0,72.0,14.4,13.78
302.0,55.0,72.0,14.4,13.78
302.0,55.0,72.0,14.4,13.78
287.0,61.0,72.0,14.4,13.78
288.0,61.0,72.0,14.4,13.78
302.0,55.0,72.0,14.4,13.78
287.0,61.0,72.0,14.4,13.78
285.0,62.0,72.0,14.4,13.78
303.0,55.0,72.0,14.8,14.22
288.0,61.0,72.0,14.8,14.22
302.0,55.0,72.0,14.8,14.22
286.0,62.0,72.0,15.2,14.66
286.0,62.0,71.0,15.2,14.63
290.0,60.0,71.0,15.2,14.63
285.0,62.0,71.0,15.2,14.63
285.0,62.0,71.0,15.2,14.63
292.0,59.0,71.0,15.2,14.63
300.0,56.0,71.0,15.7,15.18
283.0,63.0,71.0,15.7,15.18
282.0,63.0,71.0,15.7,15.18
286.0,62.0,71.0,15.7,15.18
298.0,57.0,71.0,15.7,15.18
289.0,60.0,71.0,15.7,15.18
298.0,57.0,71.0,15.7,15.18
287.0,61.0,71.0,15.7,15.18
293.0,59.0,71.0,15.7,15.18
296.0,58.0,71.0,15.7,15.18
300.0,56.0,71.0,15.7,15.18
297.0,57.0,71.0,15.7,15.18
288.0,61.0,71.0,15.7,15.18
296.0,58.0,70.0,16.1,15.59
299.0,57.0,70.0,16.1,15.59
282.0,63.0,70.0,16.6,16.14
285.0,62.0,69.0,16.6,16.12
295.0,58.0,69.0,16.6,16.12
281.0,64.0,69.0,17.0,16.56
281.0,64.0,69.0,17.0,16.56
298.0,57.0,69.0,17.0,16.56
297.0,57.0,69.0,17.0,16.56
284.0,62.0,69.0,17.0,16.56
294.0,58.0,69.0,17.0,16.56
297.0,57.0,69.0,17.0,16.56
290.0,60.0,69.0,17.2,16.78
297.0,57.0,69.0,17.4,17.0
296.0,58.0,69.0,17.4,17.0
296.0,58.0,69.0,17.4,17.0
296.0,58.0,69.0,17.4,17.0
279.0,64.0,69.0,17.4,17.0
294.0,58.0,69.0,17.4,17.0
279.0,64.0,69.0,17.4,17.0
290.0,60.0,69.0,17.4,17.0
294.0,58.0,69.0,17.4,17.0
282.0,63.0,69.0,17.4,17.0
296.0,58.0,69.0,17.4,17.0
283.0,63.0,69.0,17.8,17.44
279.0,64.0,69.0,17.8,17.44
295.0,58.0,69.0,17.8,17.44
279.0,64.0,69.0,17.8,17.44
296.0,58.0,69.0,17.8,17.44
280.0,64.0,69.0,17.8,17.44
294.0,58.0,69.0,17.8,17.44
295.0,58.0,69.0,17.8,17.44
291.0,60.0,69.0,17.8,17.44
287.0,61.0,69.0,17.8,17.44
280.0,64.0,69.0,17.8,17.44
294.0,58.0,69.0,17.8,17.44
284.0,62.0,69.0,17.8,17.44
294.0,58.0,69.0,17.8,17.44
278.0,65.0,69.0,17.8,17.44
278.0,65.0,69.0,17.8,17.44
295.0,58.0,69.0,17.8,17.44
285.0,62.0,69.0,17.8,17.44
292.0,59.0,69.0,17.8,17.44
286.0,62.0,69.0,17.8,17.44
278.0,65.0,69.0,17.8,17.44
277.0,65.0,69.0,17.8,17.44
278.0,65.0,69.0,17.8,17.44
286.0,62.0,69.0,17.8,17.44
294.0,58.0,70.0,17.8,17.46
278.0,65.0,70.0,17.8,17.46
290.0,60.0,70.0,17.8,17.46
280.0,64.0,70.0,17.8,17.46
281.0,64.0,70.0,17.8,17.46
296.0,58.0,70.0,17.8,17.46
276.0,66.0,70.0,18.0,17.68
293.0,59.0,70.0,18.2,17.9
278.0,65.0,70.0,18.2,17.9
294.0,58.0,70.0,18.2,17.9
292.0,59.0,70.0,18.1,17.79
277.0,65.0,70.0,18.2,17.9
294.0,58.0,70.0,18.2,17.9
288.0,61.0,70.0,18.2,17.9
293.0,59.0,70.0,18.2,17.9
293.0,59.0,70.0,18.2,17.9
277.0,65.0,70.0,18.2,17.9
278.0,65.0,70.0,18.2,17.9
292.0,59.0,70.0,18.2,17.9
280.0,64.0,70.0,18.2,17.9
295.0,58.0,70.0,18.2,17.9
280.0,64.0,70.0,18.2,17.9
288.0,61.0,70.0,18.2,17.9
277.0,65.0,70.0,18.2,17.9
290.0,60.0,70.0,18.2,17.9
294.0,58.0,70.0,18.2,17.9
293.0,59.0,70.0,18.2,17.9
292.0,59.0,70.0,18.2,17.9
280.0,64.0,70.0,18.2,17.9
277.0,65.0,70.0,18.2,17.9
276.0,66.0,70.0,18.2,17.9
279.0,64.0,70.0,18.2,17.9
294.0,58.0,70.0,18.2,17.9
277.0,65.0,70.0,18.2,17.9
285.0,62.0,70.0,18.2,17.9
290.0,60.0,70.0,18.2,17.9
278.0,65.0,70.0,18.2,17.9
294.0,58.0,70.0,17.8,17.46
279.0,64.0,70.0,17.8,17.46
284.0,62.0,70.0,18.2,17.9
278.0,65.0,70.0,18.2,17.9
292.0,59.0,70.0,18.2,17.9
286.0,62.0,70.0,18.2,17.9
278.0,65.0,70.0,18.2,17.9
280.0,64.0,70.0,18.2,17.9
277.0,65.0,70.0,18.2,17.9
293.0,59.0,70.0,18.2,17.9
276.0,66.0,70.0,18.2,17.9
277.0,65.0,70.0,18.2,17.9
292.0,59.0,70.0,18.2,17.9
291.0,60.0,70.0,18.2,17.9
276.0,66.0,70.0,18.2,17.9
276.0,66.0,70.0,18.2,17.9
292.0,59.0,70.0,18.2,17.9
292.0,59.0,70.0,18.2,17.9
290.0,60.0,70.0,18.2,17.9
290.0,60.0,70.0,18.2,17.9
288.0,61.0,70.0,18.2,17.9
276.0,66.0,70.0,18.2,17.9
276.0,66.0,70.0,18.2,17.9
293.0,59.0,70.0,18.2,17.9
276.0,66.0,70.0,18.2,17.9
292.0,59.0,70.0,18.2,17.9
293.0,59.0,70.0,18.2,17.9
280.0,64.0,70.0,18.2,17.9
277.0,65.0,70.0,18.2,17.9
290.0,60.0,70.0,18.2,17.9
278.0,65.0,70.0,18.2,17.9
293.0,59.0,70.0,18.2,17.9
276.0,66.0,70.0,18.2,17.9
288.0,61.0,70.0,18.2,17.9
276.0,66.0,70.0,18.2,17.9
293.0,59.0,70.0,18.2,17.9
292.0,59.0,70.0,18.2,17.9
280.0,64.0,70.0,18.2,17.9
277.0,65.0,70.0,18.2,17.9
282.0,63.0,70.0,18.2,17.9
281.0,64.0,70.0,18.2,17.9
291.0,60.0,70.0,18.2,17.9
292.0,59.0,70.0,18.2,17.9
291.0,60.0,70.0,18.2,17.9
286.0,62.0,70.0,18.2,17.9
286.0,62.0,70.0,18.2,17.9
280.0,64.0,70.0,18.2,17.9
290.0,60.0,70.0,18.2,17.9
286.0,62.0,70.0,18.2,17.9
280.0,64.0,70.0,18.2,17.9
281.0,64.0,70.0,18.2,17.9
283.0,63.0,70.0,18.2,17.9
293.0,59.0,70.0,17.8,17.46
282.0,63.0,70.0,17.8,17.46
293.0,59.0,70.0,17.4,17.02
293.0,59.0,70.0,17.4,17.02
294.0,58.0,70.0,17.4,17.02
282.0,63.0,70.0,17.4,17.02
288.0,61.0,70.0,17.4,17.02
294.0,58.0,70.0,17.4,17.02
283.0,63.0,70.0,17.4,17.02
283.0,63.0,70.0,17.4,17.02
286.0,62.0,70.0,17.4,17.02
294.0,58.0,70.0,17.4,17.02
294.0,58.0,70.0,17.4,17.02
293.0,59.0,70.0,17.4,17.02
286.0,62.0,69.0,17.4,17.0
286.0,62.0,70.0,17.4,17.02
294.0,58.0,69.0,17.4,17.0
286.0,62.0,69.0,17.4,17.0
294.0,58.0,69.0,17.4,17.0
295.0,58.0,69.0,17.4,17.0
283.0,63.0,69.0,17.4,17.0
284.0,62.0,69.0,17.4,17.0
289.0,60.0,69.0,17.4,17.0
295.0,58.0,69.0,17.1,16.67
