soil_moisture,soil_moisture_p,humidity_p,temperature_c,heat_index_c
403.00,16.00,68.00,14.80,14.11
411.00,13.00,68.00,14.80,14.11
407.00,14.00,68.00,14.80,14.11
409.00,14.00,68.00,14.80,14.11
411.00,13.00,68.00,14.80,14.11
412.00,12.00,68.00,14.80,14.11
412.00,12.00,68.00,14.80,14.11
408.00,14.00,68.00,14.80,14.11
408.00,14.00,68.00,14.80,14.11
409.00,14.00,68.00,14.80,14.11
408.00,14.00,69.00,14.80,14.14
409.00,14.00,69.00,14.80,14.14
410.00,13.00,69.00,14.80,14.14
409.00,14.00,69.00,14.80,14.14
409.00,14.00,69.00,14.80,14.14
409.00,14.00,69.00,14.80,14.14
409.00,14.00,69.00,14.80,14.14
409.00,14.00,69.00,14.80,14.14
409.00,14.00,69.00,14.80,14.14
408.00,14.00,69.00,14.80,14.14
408.00,14.00,69.00,14.80,14.14
408.00,14.00,69.00,14.80,14.14
408.00,14.00,70.00,14.80,14.16
408.00,14.00,70.00,14.80,14.16
408.00,14.00,70.00,14.80,14.16
408.00,14.00,70.00,14.80,14.16
408.00,14.00,70.00,14.80,14.16
408.00,14.00,70.00,14.80,14.16
408.00,14.00,70.00,14.80,14.16
408.00,14.00,70.00,14.80,14.16
407.00,14.00,70.00,14.80,14.16
407.00,14.00,70.00,14.80,14.16
407.00,14.00,70.00,14.70,14.05
407.00,14.00,70.00,14.70,14.05
407.00,14.00,70.00,14.50,13.83
407.00,14.00,70.00,14.50,13.83
407.00,14.00,71.00,14.50,13.86
407.00,14.00,71.00,14.50,13.86
407.00,14.00,71.00,14.40,13.75
407.00,14.00,71.00,14.40,13.75
407.00,14.00,71.00,14.40,13.75
407.00,14.00,71.00,14.40,13.75
407.00,14.00,71.00,14.40,13.75
407.00,14.00,71.00,14.40,13.75
407.00,14.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
407.00,14.00,71.00,14.40,13.75
407.00,14.00,71.00,14.40,13.75
407.00,14.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
407.00,14.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
407.00,14.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
407.00,14.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
407.00,14.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
406.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
404.00,16.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
405.00,15.00,71.00,14.40,13.75
